1.1.1.1 1ms test
172.67.231.63 194ms LAX
172.67.235.63 204ms LAX
172.67.236.63 222ms LAX
172.67.238.63 204ms LAX
172.67.242.63 217ms LAX
172.67.243.63 193ms LAX
172.67.244.63 236ms LAX
172.67.245.63 202ms LAX
172.67.247.63 190ms LAX
172.67.250.63 219ms LAX
172.67.254.63 195ms LA
